Employee ID,Name,Department,Salary,IBAN
000dead3,Diana Beard,Finance,76325,GB06HUSO51959108195688
d9a3eb9e,Jennifer Knight DVM,Finance,84319,GB32VWHX10382755581380
b215393c,Samantha Crawford,Finance,85428,GB77YSCR75628376356951
c6264cc0,Joshua Navarro,Finance,106115,GB45VJBC17456230270729
0f648e8a,Edward Mathis,Finance,66190,GB11RMRC42762144559608
dcfa7cfc,Diana Ali,Finance,110480,GB39ULSB84505683830604
d34fd6c6,Katrina Williams,Finance,69283,GB18HWTD72797238190167
c5d1f4bd,Rachel Russell,Finance,148074,GB50BZLA92168768087077
c97e1435,Gregory Krause,Finance,126362,GB79MUYO21163146612376
e015737a,Steven White,Finance,117002,GB48BECS86684225528711
5e0d3329,Chase Romero,Finance,88759,GB22RADY49001324634485
ffee0dae,Alexander Barnett,Finance,50017,GB15GMXF36149967003113
21787cde,Rhonda Gray,Finance,79359,GB30IVEN51876385303587
940ddfc4,Lisa Montgomery,Finance,77676,GB40SZJG90149301240797
6adee68b,Kenneth Sanchez,Finance,88747,GB39ACDO58441865755329
623cfb61,Matthew Ramos,Finance,87691,GB51IBMB39140813832230
c4a93a69,Megan Austin,Finance,70242,GB16STNW88905721919583
8137073a,Stephanie Schneider,Finance,73415,GB77CRTS04611068009046
e8b688b0,Jennifer Campbell,Finance,80405,GB48HTZV81009726715155
f1b6c646,Robert Hill,Finance,70201,GB78WOHO63093872361712
aee9ca3b,Catherine Campbell,Finance,88354,GB87ZSFZ85365846856143
36a68b3a,Sarah Hill,Finance,77627,GB15EOOP17277405547702
e17fba85,Justin Lopez,Finance,58927,GB35DGEF09796969621175
c0891283,Sierra Valdez,Finance,104098,GB20RRUD01239780437941
72085faf,Chad Ramos,Finance,146543,GB95PESS61789377414085
a6574819,Kenneth Smith,Finance,116484,GB27WXND90904255751840
3ee80b5d,Mary Smith,Finance,125785,GB61CVUW28177159952652
618a860f,Garrett Vaughn,Finance,101220,GB61BXJS01365915060225
55070125,Ronald Wilkins,Finance,135604,GB23FASE53225083156536
dbc3f8b1,Dr. Kathleen Moore,Finance,85637,GB24JUPB49473187144139
72855a37,Nancy Charles,Finance,144119,GB71DJRY07960286888753
85a08e29,Jeanette Freeman,Finance,149554,GB80BLPU29629213203008
